asin,product_title,product_price,product_original_price,currency,product_star_rating,product_num_ratings,product_url,product_photo,product_num_offers,product_minimum_offer_price,is_best_seller,is_prime,climate_pledge_friendly
B08X2MS5SC,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Pink - Unlocked (Renewed)",$232.90,$247.00,USD,4.2,566,https://www.amazon.com/dp/B08X2MS5SC,https://m.media-amazon.com/images/I/61YgX12EuXL._AC_SX444_SY639_QL65_.jpg,,$232.90,False,False,True
B09VCPMX4X,"Samsung Galaxy S22 Ultra 5G (SM-S908E/DS) Dual SIM 256GB/ 12GB RAM, GSM Unlocked International Version - Phantom Black",$822.50,,USD,4.4,36,https://www.amazon.com/dp/B09VCPMX4X,https://m.media-amazon.com/images/I/51TvHHYAK+L._AC_SX444_SY639_QL65_.jpg,,$822.50,False,True,False
B0BV7J3KGX,"SAMSUNG Galaxy S23 Ultra 5G S9180 Dual 512GB 12GB RAM, 200 MP Camera, Factory Unlocked, NGP Wireless Charger Included– Green","$1,059.98","$1,199.00",USD,3.7,23,https://www.amazon.com/dp/B0BV7J3KGX,https://m.media-amazon.com/images/I/51mH1rGI3lL._AC_SX444_SY639_QL65_.jpg,,"$1,059.98",False,False,False
B07ZVD93VB,HUAWEI Y9 Prime 2019 STK-LX3 Smartphone 4G 128G Kirin 710 Octa core Auto Pop-Up Triple AI Camera 6.59 inch 4000 mAh Android 9.0(Night Black),$199.05,,USD,,0,https://www.amazon.com/dp/B07ZVD93VB,https://m.media-amazon.com/images/I/41+GOetO65L._AC_SX348_SY500_QL65_.jpg,,$199.05,False,True,False
B08H8DG88R,Samsung - Galaxy A71 A716U 5G Fully Unlocked 128GB - Prism Cube Black (Renewed),$189.95,,USD,4.1,772,https://www.amazon.com/dp/B08H8DG88R,https://m.media-amazon.com/images/I/81F-HsLHt9L._AC_SX444_SY639_QL65_.jpg,,$189.95,False,False,True
B096T56NRH,"SAMSUNG Galaxy S21 Ultra G998U 5G | Fully Unlocked Android Smartphone | US Version | Pro-Grade Camera, 8K Video, 108MP High Resolution | 256GB - Phantom Black (Renewed)",$405.00,$454.99,USD,4.3,555,https://www.amazon.com/dp/B096T56NRH,https://m.media-amazon.com/images/I/61dlAm9BpqL._AC_SX444_SY639_QL65_.jpg,,$405.00,False,False,True
B0932D7ZG4,Samsung Galaxy S21 5G G991U 128GB Smartphone - T-Mobile Locked - (Renewed),$247.00,,USD,4.2,643,https://www.amazon.com/dp/B0932D7ZG4,https://m.media-amazon.com/images/I/61YgX12EuXL._AC_SX444_SY639_QL65_.jpg,,$247.00,False,False,True
B08HL64JS8,Samsung Galaxy Note 20 Ultra 128GB Unlocked Android Smartphone - Mystic Black (Renewed),$409.99,$469.99,USD,4.1,3198,https://www.amazon.com/dp/B08HL64JS8,https://m.media-amazon.com/images/I/51UG-WVTAOL._AC_SX444_SY639_QL65_.jpg,,$409.99,False,True,True
B00S1LRY54,Samsung Galaxy Tab S 10.5in 16gb SSD WiFi Titanium Bronze (Renewed),$209.00,,USD,4.1,350,https://www.amazon.com/dp/B00S1LRY54,https://m.media-amazon.com/images/I/71ALo4y6PwL._AC_SX444_SY639_QL65_.jpg,,$209.00,False,True,True
B0CBSY2Q9P,"SAMSUNG Galaxy A32 5G (64GB, 4GB) 6.5&quot; 90Hz Display, 48MP Quad Camera, All Day Battery, 4G Volte (GSM Unlocked for T-Mobile, Metro, AT&amp;T, Global No Logo) US Model A326U1 (w/ 256GB SD, Awesome Black)",$160.99,$169.99,USD,5,5,https://www.amazon.com/dp/B0CBSY2Q9P,https://m.media-amazon.com/images/I/51qmYERXW4L._AC_SX399_SY575_QL65_.jpg,,$160.99,False,False,False
